Financial Instrument,Position,Last,Change %,Avg Price,Cost Basis,Market Value,Unrealized P&L,Unrealized P&L %,P/E,EPS (current)
AMZN,36,238.40,2.03%,226.132,"8,141","8,584",443,5.4%,32.6,
ASML,5.6,"1,480.13",2.17%,"1,371.083","7,678","8,294",616,8.0%,50.1,
FICO,1.09,920.70,-14.14%,"1,132.413","1,234","1,004",-231,-18.7%,39.7,
GOOG,40,316.30,-0.02%,288.793,"11,552","12,652","1,100",9.5%,29.5,
IGV,30,74.70,-2.53%,87.355,"2,621","2,241",-380,-14.5%,,3.64
JPM,15,310.10,-0.07%,308.790,"4,632","4,652",20,0.4%,15.5,
META,18,630.85,0.39%,606.220,"10,912","11,355",443,4.1%,21.5,
MSFT,14,371.70,-0.37%,421.212,"5,897","5,204",-693,-11.8%,23.3,
QQQ,69.2812,612.49,0.38%,597.405,"41,389","42,434","1,045",2.5%,,22.68
RGTI,22,14.68,2.59%,20.428,449,323,-126,-28.1%,,
RKLB,75,68.37,2.44%,73.858,"5,539","5,128",-412,-7.4%,,
TSLA,2,351.30,1.64%,427.058,854,703,-152,-17.7%,321.3,
UBER,80,70.60,-1.69%,71.917,"5,753","5,648",-105,-1.8%,15.2,
Cash,,,,,,"11,700",,,,
Total,,,,,"106,651","119,922","1,568",1.5%,,
