Financial Instrument,Company Name,Last,Position,Avg Price,Unrealized P&L,EMA(200),% of Net Liq,Market Value,Dividend Yield %,Dividends,
QQQ,INVESCO QQQ TRUST SERIES 1,639.58,69.2812,597.405,"2,922.68",588.60,35.22%,"44,311.56",0.5%,2.932,
GOOG,ALPHABET INC-CL C,332.14,40,288.793,"1,734.30",276.23,10.56%,"13,286.00",0.3%,0.84,
META,META PLATFORMS INC-CLASS A,673.95,18,606.22,"1,218.61",649.68,9.64%,"12,130.56",0.3%,2.1,
ASML,ASML HOLDING NV-NY REG SHS,1418.48,6.9883,1385.064,233.45,1146.02,7.88%,"9,912.69",0.6%,8.76909,
AMZN,AMAZON.COM INC,248.43,36.4021,226.416,800.27,220.57,7.19%,"9,042.28",,,
UBER,UBER TECHNOLOGIES INC,76.69,80,71.917,381.50,81.02,4.88%,"6,134.80",,,
RKLB,ROCKET LAB CORP,82.54,75,73.858,654.95,59.23,4.92%,"6,194.25",,,
MSFT,MICROSOFT CORP,419.19,14,421.212,'-28.37,442.43,4.66%,"5,868.59",0.9%,3.64,
JPM,JPMORGAN CHASE & CO,308.59,15,308.79,'-3.00,294.50,3.68%,"4,628.85",1.9%,6.0,
IGV,ISHARES EXPANDED TECH-SOFTWA,84.27,30,87.355,'-92.53,95.78,2.01%,"2,528.10",,,
FICO,FAIR ISAAC CORP,1066.25,1.09,1132.413,'-71.95,1485.91,0.92%,"1,162.38",,,
TSLA,TESLA INC,387.89,2,427.058,'-78.38,390.60,0.62%,775.74,,,
RGTI,RIGETTI COMPUTING INC,19.57,22,20.428,'-18.75,19.59,0.34%,430.65,,,
