symbol,position,last,change_pct,avg_price,cost_basis,market_value,unrealized_pl,unrealized_pl_pct,pe,eps_current
QQQ,29.31,648.85,,559.112702149,16387.5933,19017.79,2630.1967,16.05,,
AMZN,37.1998,250.56,,227.006749606,8444.605684,9320.78,876.174316,10.38,,
ASML,6.9883,1459.8,,1385.063573115,9679.239768,10201.52,522.280231,5.4,,
FICO,1.09,1073.52,,1132.41266055,1234.3298,1170.14,-64.1898,-5.2,,
GOOG,40.0,339.4,,288.7925,11551.7,13576.0,2024.3,17.52,,
IGV,30.0,85.08,,87.354166667,2620.625,2552.4,-68.225,-2.6,,
JPM,15.0,310.29,,308.79,4631.85,4654.35,22.5,0.49,,
META,18.0,688.55,,606.219444444,10911.95,12393.9,1481.95,13.58,,
MSFT,14.0,422.79,,421.211428571,5896.96,5919.06,22.1,0.37,,
NFLX,20.0,97.31,,97.4425,1948.85,1946.2,-2.65,-0.14,,
QQQ,39.9712,648.85,,625.482523417,25001.28704,25935.31,934.02296,3.74,,
RGTI,22.0,19.81,,20.427290909,449.4004,435.82,-13.5804,-3.02,,
RKLB,75.0,84.8,,73.857333333,5539.3,6360.0,820.7,14.82,,
TSLA,2.0,400.62,,427.058,854.116,801.24,-52.876,-6.19,,
UBER,80.0,77.12,,71.91625,5753.3,6169.6,416.3,7.24,,
